Nombre Jugador,Valor Jugador (en millones),Club
Jude Bellingham,18000000000,Real Madrid CF
Vinicius Junior,15000000000,Real Madrid CF
Rodrygo,10000000000,Real Madrid CF
Gavi,9000000000,FC Barcelona
Pedri,9000000000,FC Barcelona
Frenkie de Jong,8000000000,FC Barcelona
Takefusa Kubo,6000000000,Real Sociedad
Martín Zubimendi,5000000000,Real Sociedad
Mikel Merino,5000000000,Real Sociedad
